file,hs_par_ms,hs_par_rss_kb,hs_par_ok,hs_par_correct,hs_n1_ms,hs_n1_rss_kb,hs_n1_ok,hs_n1_correct,lean_ms,lean_rss_kb,lean_ok,lean_correct,ratio_n1,ratio_par
dh-ca_hack.scm,406.284541,80368,True,True,1767.4211249999998,19664,True,True,10566.831542000002,90388,True,True,5.978672197889455,26.0084509147002
fragile_pruning.scm,1009.7601249999997,88384,True,True,3951.8576249999987,25808,True,True,25403.985041999997,58948,True,True,6.428365455600138,25.158435566070708
sorted_epmo_acctnum.scm,2383.1738329999935,100736,True,True,8767.343667,36048,True,True,59338.581208,49004,True,True,6.768136788266727,24.898973119935295
wonthull2.scm,254.72654200000022,90464,True,True,1208.4019999999923,26848,True,True,21187.744583999985,96396,True,True,17.533688775755188,83.1783936516516
wonthull3.scm,56.34633399998279,74064,True,True,92.73587500001668,15440,True,True,816.0907920000113,60864,True,True,8.800162741763796,14.483476280821758
