file,hs_par_ms,hs_par_rss_kb,hs_par_ok,hs_par_correct,hs_n1_ms,hs_n1_rss_kb,hs_n1_ok,hs_n1_correct,lean_ms,lean_rss_kb,lean_ok,lean_correct,ratio_n1,ratio_par
abc.scm,31.545375,72320,True,True,23.926332999999968,13904,True,True,237.06983299999996,36508,True,True,9.90832289260541,7.515200976371337
blanchet.scm,31.083874999999985,73728,True,True,19.711041999999956,14320,True,True,71.81679200000002,37208,True,True,3.6434802381325238,2.3104195342440432
ns.scm,32.03058299999994,72784,True,True,30.56512499999997,14352,True,True,104.75166700000005,38028,True,True,3.427163049390446,3.2703640455123857
