file,hs_par_ms,hs_par_rss_kb,hs_par_ok,hs_par_correct,hs_n1_ms,hs_n1_rss_kb,hs_n1_ok,hs_n1_correct,lean_ms,lean_rss_kb,lean_ok,lean_correct,ratio_n1,ratio_par
dh-ca_hack.scm,378.200667,80256,True,True,1691.1305410000002,19728,True,True,10634.788375,90544,True,True,6.28856739155774,28.119433155309586
fragile_pruning.scm,1014.3582090000009,89488,True,True,3928.6462500000016,25968,True,True,25200.3555,59088,True,True,6.4145137781239505,24.84364524919025
sorted_epmo_acctnum.scm,2335.7005000000017,99680,True,True,8746.632584000004,36112,True,True,58205.117792,49260,True,True,6.654574458571995,24.919769376253484
wonthull2.scm,254.7428339999982,90512,True,True,1200.2215830000011,26880,True,True,147720.83304199998,4361936,True,True,123.07796754726401,579.8821922582562
wonthull3.scm,87.04804199999217,75088,True,True,94.85433300000068,15440,True,True,1020.5309579999948,83908,True,True,10.75892819782927,11.723766951588487
