file,hs_par_ms,hs_par_rss_kb,hs_par_ok,hs_par_correct,hs_n1_ms,hs_n1_rss_kb,hs_n1_ok,hs_n1_correct,lean_ms,lean_rss_kb,lean_ok,lean_correct,ratio_n1,ratio_par
role_uniq.scm,19.55829100000983,72736,True,True,19.230415999970774,14352,True,True,51.481458000012026,37168,True,True,2.6770849887017665,2.632206361996871
rule-node.scm,19.363832999999886,72736,True,True,19.09979200001999,14352,True,True,51.833541999997124,36716,True,True,2.713827564192473,2.6768224039113244
rule-order.scm,19.320708999998715,72112,True,True,19.22166700001071,13824,True,True,46.46108299999696,36188,True,True,2.4171203777472092,2.4047297125586877
sigenc.scm,32.0831250000424,72752,True,True,19.253999999989446,14288,True,True,81.84204200000522,37900,True,True,4.25065139711489,2.5509373541354545
sorted_epmo_acctnum.scm,2341.2003749999712,99680,True,True,8641.224542000033,36048,True,True,58762.212665999985,48972,True,True,6.800218230690638,25.09918129754302
sts.scm,30.789458000015202,72864,True,True,32.23291699998754,14352,True,True,86.58295800000815,37596,True,True,2.686165760301546,2.8120975042810237
sts_non_role.scm,32.15283299999783,72960,True,True,33.12037500000997,14416,True,True,89.05683400001863,37596,True,True,2.688883625260638,2.7697974234502025
sts_weakened_reflect.scm,31.862624999973832,72896,True,True,32.44241600003761,14384,True,True,90.0087919999919,37584,True,True,2.774417047111644,2.824901965863322
subatomic-open-closed-test-genrule.scm,2430.9703750000153,76288,True,True,2413.873083999988,16512,True,True,7152.409957999964,46696,True,True,2.9630430884741576,2.9422036695942535
subatomic-open-closed.scm,2392.4537089999944,75152,True,True,2407.7011670000275,16544,True,True,6988.879625000038,46640,True,True,2.9027188759093865,2.921218328575842
sync_locn_envelope.scm,1627.7592499999969,75056,True,True,1608.984540999984,15552,True,True,3980.0360419999947,46008,True,True,2.473632244798575,2.4451011671412726
targetterms1.scm,19.238874999985,72336,True,True,17.869750000045315,13984,True,True,51.329708000025676,36736,True,True,2.8724357083840295,2.6680202454699504
